"device_name","machine_definition","variable_name","value","timestamp","variable_attribute","device","machine_def","year","month","date"
"be714-em63-multi-client","M231-11","Time_on_machine","07:04:30","2026-01-12 07:04:30.000000",,"be714-em63-multi-client","M231-11","2026","01","2026-01-12"
"be714-em63-multi-client","M231-11","Cushion","5.63","2026-01-12 07:04:30.000000",,"be714-em63-multi-client","M231-11","2026","01","2026-01-12"
"be714-em63-multi-client","M231-11","Injection_time","0.524","2026-01-12 07:04:30.000000",,"be714-em63-multi-client","M231-11","2026","01","2026-01-12"
"be714-em63-multi-client","M231-11","Dosage_time","2.26","2026-01-12 07:04:30.000000",,"be714-em63-multi-client","M231-11","2026","01","2026-01-12"
"be714-em63-multi-client","M231-11","Injection_pressure","699","2026-01-12 07:04:30.000000",,"be714-em63-multi-client","M231-11","2026","01","2026-01-12"
"be714-em63-multi-client","M231-11","Switch_pressure","696","2026-01-12 07:04:30.000000",,"be714-em63-multi-client","M231-11","2026","01","2026-01-12"
"be714-em63-multi-client","M231-11","Cycle_time","14.06","2026-01-12 07:04:30.000000",,"be714-em63-multi-client","M231-11","2026","01","2026-01-12"
"be714-em63-multi-client","M231-11","Extruder_start_position","5.67","2026-01-12 07:04:30.000000",,"be714-em63-multi-client","M231-11","2026","01","2026-01-12"
"be714-em63-multi-client","M231-11","Cyl_tmp_z1","260","2026-01-12 07:04:30.000000",,"be714-em63-multi-client","M231-11","2026","01","2026-01-12"
